title	authors	year	venue	url	open_pdf	topic	why
Validity of the Single Processor Approach to Achieving Large Scale Computing Capabilities	Gene M. Amdahl	1967	AFIPS	https://doi.org/10.1145/1465482.1465560	https://www3.cs.stonybrook.edu/~rezaul/Spring-2012/CSE613/reading/Amdahl-1967.pdf	quantitative-principles	The origin of Amdahl's Law and the serial-fraction speedup ceiling.
An Efficient Algorithm for Exploiting Multiple Arithmetic Units	Robert M. Tomasulo	1967	IBM J. R&D	https://doi.org/10.1147/rd.111.0025		instruction-level-parallelism	Register renaming plus the common data bus, the basis of every out-of-order engine.
Cache Memories	Alan Jay Smith	1982	ACM Computing Surveys	https://doi.org/10.1145/356887.356892	https://people.engr.tamu.edu/djimenez/taco/utsa-www/cs5513-fall07/reader/smith-cache-memories.pdf	memory-systems-and-storage	The definitive early survey of the cache design space.
How to Make a Multiprocessor Computer That Correctly Executes Multiprocess Programs	Leslie Lamport	1979	IEEE TC	https://doi.org/10.1109/TC.1979.1675439		multicore-and-memory-consistency	The formal definition of sequential consistency.
Simultaneous Multithreading: Maximizing On-Chip Parallelism	Tullsen, Eggers, Levy	1995	ISCA-22	https://doi.org/10.1145/223982.224449	https://www.cs.sfu.ca/~alaa/courses/cmpt450/fall2022/papers/tullsen-isca-1995.pdf	multicore-and-memory-consistency	The SMT paper that became Intel Hyper-Threading.
The Case for a Single-Chip Multiprocessor	Olukotun, Nayfeh, Hammond, Wilson, Chang	1996	ASPLOS-VII	https://doi.org/10.1145/237090.237140	http://arsenalfc.stanford.edu/kunle/publications/hydra_ASPLOS_VII.pdf	multicore-and-memory-consistency	The Hydra argument that many simple cores beat one wide core.
Roofline: An Insightful Visual Performance Model for Multicore Architectures	Williams, Waterman, Patterson	2009	CACM	https://doi.org/10.1145/1498765.1498785		quantitative-principles	Ties attainable performance to operational intensity and memory bandwidth.
NVIDIA Tesla: A Unified Graphics and Computing Architecture	Lindholm, Nickolls, Oberman, Montrym	2008	IEEE Micro	https://doi.org/10.1109/MM.2008.31	https://www.cs.cmu.edu/afs/cs/academic/class/15869-f11/www/readings/lindholm08_tesla.pdf	accelerators-and-warehouse-scale	The unified-shader SIMT GPU that made GPGPU and deep learning practical.
The Datacenter as a Computer	Barroso, Holzle	2009	Synthesis Lectures	https://doi.org/10.2200/S00193ED1V01Y200905CAC006	https://cs.brown.edu/courses/csci2950-u/s18/papers/barroso09warehouse.pdf	accelerators-and-warehouse-scale	Reframes the warehouse as the unit of computing.
Dark Silicon and the End of Multicore Scaling	Esmaeilzadeh, Blem, St. Amant, Sankaralingam, Burger	2011	ISCA-38	https://doi.org/10.1145/2000064.2000108	https://www.cs.toronto.edu/~pekhimenko/courses/csc2224-f18/docs/Dark%20Silicon.pdf	multicore-and-memory-consistency	Models how the end of Dennard scaling caps usable cores.
In-Datacenter Performance Analysis of a Tensor Processing Unit	Jouppi et al.	2017	ISCA-44	https://doi.org/10.1145/3079856.3080246	https://arxiv.org/pdf/1704.04760	accelerators-and-warehouse-scale	Google's deployed systolic-array TPU, the canonical production-ML-accelerator study.
Spectre Attacks: Exploiting Speculative Execution	Kocher et al.	2019	IEEE S&P	https://doi.org/10.1109/SP.2019.00002	https://www.cs.sfu.ca/~ashriram/Courses/CS7ARCH/papers/Kocher-security-2019.pdf	tools-and-security	Speculation becomes a covert channel, opening the transient-execution attack class.
