title	authors	year	venue	url	open_pdf	topic	why
Learning representations by back-propagating errors	Rumelhart, Hinton, Williams	1986	Nature	https://doi.org/10.1038/323533a0		deep-learning-foundations	Established backpropagation for training multi-layer networks.
Long Short-Term Memory	Hochreiter, Schmidhuber	1997	Neural Computation	https://doi.org/10.1162/neco.1997.9.8.1735		sequence-models	The gated recurrent cell that dominated sequence modeling for two decades.
ImageNet Classification with Deep Convolutional Neural Networks (AlexNet)	Krizhevsky, Sutskever, Hinton	2012	NeurIPS	https://papers.nips.cc/paper/4824-imagenet-classification-with-deep-convolutional-neural-networks	https://www.image-net.org/static_files/files/supervision.pdf	computer-vision	The ImageNet win that started the modern deep-learning boom.
Efficient Estimation of Word Representations in Vector Space (word2vec)	Mikolov, Chen, Corrado, Dean	2013	ICLR Workshop	https://arxiv.org/abs/1301.3781	https://arxiv.org/pdf/1301.3781	sequence-models	Cheap, semantically meaningful word embeddings.
Auto-Encoding Variational Bayes (VAE)	Kingma, Welling	2013	ICLR	https://arxiv.org/abs/1312.6114	https://arxiv.org/pdf/1312.6114	generative-models	The VAE and reparameterization trick, founding deep latent-variable generation.
Generative Adversarial Nets	Goodfellow et al.	2014	NeurIPS	https://arxiv.org/abs/1406.2661	https://arxiv.org/pdf/1406.2661	generative-models	Generation as an adversarial game.
Sequence to Sequence Learning with Neural Networks	Sutskever, Vinyals, Le	2014	NeurIPS	https://arxiv.org/abs/1409.3215	https://arxiv.org/pdf/1409.3215	sequence-models	The encoder-decoder framework, the direct precursor to attention.
Human-level control through deep reinforcement learning (DQN)	Mnih et al.	2015	Nature	https://doi.org/10.1038/nature14236	https://web.stanford.edu/class/psych209/Readings/MnihEtAlHassibis15NatureControlDeepRL.pdf	reinforcement-learning	Learned Atari from pixels, founding deep RL.
Deep Residual Learning for Image Recognition (ResNet)	He, Zhang, Ren, Sun	2016	CVPR	https://arxiv.org/abs/1512.03385	https://arxiv.org/pdf/1512.03385	deep-learning-foundations	Residual connections let networks scale to 100+ layers.
Mastering the game of Go with deep neural networks and tree search (AlphaGo)	Silver et al.	2016	Nature	https://doi.org/10.1038/nature16961		reinforcement-learning	Deep policy/value nets plus MCTS beat top humans at Go.
Denoising Diffusion Probabilistic Models (DDPM)	Ho, Jain, Abbeel	2020	NeurIPS	https://arxiv.org/abs/2006.11239	https://arxiv.org/pdf/2006.11239	generative-models	Launched diffusion as the dominant image-generation approach.
Scaling Laws for Neural Language Models	Kaplan et al.	2020	arXiv	https://arxiv.org/abs/2001.08361	https://arxiv.org/pdf/2001.08361	training-and-scaling	Loss follows smooth power laws in model size, data, and compute.
